canonical_player_id,canonical_name,transfermarkt_player_id,transfermarkt_name,trgm_similarity,jaro_winkler,token_sort,working_confidence,match_hint
290,Martin Hansen,45601,Martin Hansen,1.0,1.0,1.0,1.0,exact_after_normalize
291,Timothy Derijck,31131,Timothy Derijck,1.0,1.0,1.0,1.0,exact_after_normalize
292,Hector Hevel,277962,Hector Hevel,1.0,1.0,1.0,1.0,exact_after_normalize
293,Tyronne Ebuehi,309944,Tyronne Ebuehi,1.0,1.0,1.0,1.0,exact_after_normalize
294,Gervane Kastaneer,240752,Gervane Kastaneer,1.0,1.0,1.0,1.0,exact_after_normalize
295,Oleksandr Yakovenko,31776,Oleksandr Yakovenko,1.0,1.0,1.0,1.0,exact_after_normalize
296,Arkadiusz Milik,191891,Arkadiusz Milik,1.0,1.0,1.0,1.0,exact_after_normalize
297,Kenny Tete,206746,Kenny Tete,1.0,1.0,1.0,1.0,exact_after_normalize
298,Diederik Boer,7288,Diederik Boer,1.0,1.0,1.0,1.0,exact_after_normalize
299,Niki Zimling,15045,Niki Zimling,1.0,1.0,1.0,1.0,exact_after_normalize
300,Anwar El Ghazi,183720,Anwar El Ghazi,1.0,1.0,1.0,1.0,exact_after_normalize
301,Daley Sinkgraven,215099,Daley Sinkgraven,1.0,1.0,1.0,1.0,exact_after_normalize
302,Riechedly Bazoer,216443,Riechedly Bazoer,1.0,1.0,1.0,1.0,exact_after_normalize
303,Queensy Menig,225339,Queensy Menig,1.0,1.0,1.0,1.0,exact_after_normalize
304,Richairo Živković,252755,Richairo Zivkovic,0.5652,1.0,1.0,1.0,exact_after_normalize
305,Dirk Marcellis,31025,Dirk Marcellis,1.0,1.0,1.0,1.0,exact_after_normalize
307,Robert Mühren,186763,Robert Mühren,1.0,1.0,1.0,1.0,exact_after_normalize
308,Mikhail Rosheuvel,64507,Mikhail Rosheuvel,1.0,1.0,1.0,1.0,exact_after_normalize
309,Guus Hupperts,116636,Guus Hupperts,1.0,1.0,1.0,1.0,exact_after_normalize
310,Dabney dos Santos,241500,Dabney dos Santos,1.0,1.0,1.0,1.0,exact_after_normalize
311,Derrick Luckassen,241457,Derrick Luckassen,1.0,1.0,1.0,1.0,exact_after_normalize
